upside_bucket,year,n,mean_vs_avg,std,win_rate,baseline_mean,difference,p_value,cohens_d
Upside_25-50,2022,959,-0.003973972116767436,3.0147334743319174,46.089676746611055,-0.038606990222882775,0.03463301810611534,0.727175733175143,0.01161853073263214
Upside_25-50,2023,891,-0.18141565767656342,2.8428777873311244,45.79124579124579,-0.10573650500532089,-0.07567915267124253,0.455601384235452,-0.02572278018254503
Upside_25-50,2024,1061,-0.1739111288110179,2.969380333043015,45.61734213006597,-0.2515531393733106,0.0776420105622927,0.40244209856204083,0.026542975423605154
Upside_25-50,2025,907,-0.112951136891269,3.029523676484243,46.52701212789416,-0.13083404021896183,0.017882903327692837,0.861045495811835,0.0059732538552671405
Upside_25-50,2026,236,0.06041326884957618,3.008395863016829,47.03389830508475,-0.21597735139016075,0.27639062023973693,0.16467400472020424,0.09284975187816429
Upside_50-75,2022,9631,-0.04321474509777073,2.9767791140101676,47.60668674073305,-0.038606990222882775,-0.004607754874887952,0.9055516597339308,-0.0015472961585299197
Upside_50-75,2023,9432,-0.08079760319704993,2.94581465875629,47.03138252756573,-0.10573650500532089,0.024938901808270963,0.5190388765219174,0.008462279027189566
Upside_50-75,2024,9375,-0.3151492715636504,2.906678142673312,43.40266666666667,-0.2515531393733106,-0.06359613219033983,0.09359819045113986,-0.021805842005157425
Upside_50-75,2025,10037,-0.17819353857253614,2.9780276037821887,45.2525655076218,-0.13083404021896183,-0.04735949835357431,0.2121576672348481,-0.015857653423350892
Upside_50-75,2026,2806,-0.2683122790958482,2.9790172565856,44.11974340698504,-0.21597735139016075,-0.052334927705687456,0.46644324154065936,-0.017582136886101985
Upside_75-100,2022,4510,-0.03613155278690023,2.9756393302611786,47.494456762749444,-0.038606990222882775,0.0024754374359825457,0.9609313109667439,0.0008312468934371998
Upside_75-100,2023,4784,-0.1408104173852404,2.9709694856372058,46.27926421404682,-0.10573650500532089,-0.0350739123799195,0.47409990241398886,-0.011875673432404029
Upside_75-100,2024,5576,-0.15940185420870442,2.936835415017206,46.0545193687231,-0.2515531393733106,0.09215128516460616,0.04283994711815169,0.031494157562072835
Upside_75-100,2025,5210,-0.04270976159005452,3.0102050351216563,46.948176583493286,-0.13083404021896183,0.08812427862890732,0.06490923227481632,0.02941093932510083
Upside_75-100,2026,1375,-0.1566147181061018,2.959622950574985,45.30909090909091,-0.21597735139016075,0.05936263328405894,0.5177075435149744,0.019977985592945738
