round_type,color,n,good_pct,bad_pct,pop_good_pct,pop_bad_pct,good_edge,bad_edge,ratio,avg_diff
Closing,Red,97,27.8,22.7,23.9,23.2,3.9,-0.5,1.19,-0.08
Closing,Purple,485,24.9,21.0,23.9,23.2,1.0,-2.2,1.15,-0.17
Closing,Blue,727,24.1,26.5,23.9,23.2,0.1,3.3,0.88,0.19
Closing,Orange,407,24.1,21.9,23.9,23.2,0.1,-1.3,1.07,-0.2
Closing,Yellow,1347,23.6,23.1,23.9,23.2,-0.3,-0.1,0.99,0.06
Closing,Green,431,22.5,21.6,23.9,23.2,-1.4,-1.6,1.01,0.0
Elimination,Blue,30,26.7,30.0,28.2,24.8,-1.5,5.2,0.78,0.48
Elimination,Yellow,37,24.3,18.9,28.2,24.8,-3.9,-5.9,1.13,-0.04
Mixed,Purple,106,33.0,25.5,30.0,29.5,3.0,-4.0,1.27,0.28
Mixed,Blue,105,31.4,29.5,30.0,29.5,1.4,0.0,1.05,0.26
Mixed,Green,93,31.2,26.9,30.0,29.5,1.2,-2.6,1.14,0.18
Mixed,Yellow,198,30.3,28.8,30.0,29.5,0.3,-0.7,1.03,0.35
Mixed,Orange,59,27.1,40.7,30.0,29.5,-2.9,11.2,0.66,1.18
Open,Orange,648,31.6,18.2,28.7,22.1,2.9,-3.9,1.34,-0.45
Open,Green,859,30.8,23.4,28.7,22.1,2.1,1.3,1.01,-0.24
Open,Purple,989,29.2,21.6,28.7,22.1,0.5,-0.5,1.04,-0.16
Open,Red,142,28.2,26.1,28.7,22.1,-0.5,4.0,0.83,0.15
Open,Yellow,2435,27.8,22.5,28.7,22.1,-0.9,0.4,0.95,-0.12
Open,Blue,1229,27.0,22.2,28.7,22.1,-1.7,0.1,0.94,-0.13
Positioning,Green,453,25.2,20.8,22.6,22.7,2.5,-1.9,1.21,-0.05
Positioning,Blue,687,23.3,22.3,22.6,22.7,0.6,-0.4,1.05,-0.02
Positioning,Red,115,22.6,26.1,22.6,22.7,0.0,3.4,0.87,0.1
Positioning,Purple,571,22.4,24.7,22.6,22.7,-0.2,2.0,0.91,0.11
Positioning,Yellow,1280,22.0,22.6,22.6,22.7,-0.7,-0.1,0.97,0.07
Positioning,Orange,374,21.1,21.7,22.6,22.7,-1.5,-1.0,0.98,-0.07
Survival,Red,153,34.0,23.5,26.4,21.7,7.6,1.9,1.18,-0.27
Survival,Orange,494,28.9,19.0,26.4,21.7,2.6,-2.6,1.25,-0.36
Survival,Purple,729,28.7,23.0,26.4,21.7,2.3,1.4,1.02,-0.17
Survival,Blue,937,26.0,20.6,26.4,21.7,-0.4,-1.1,1.04,-0.13
Survival,Yellow,1970,25.4,22.1,26.4,21.7,-1.0,0.5,0.94,-0.08
Survival,Green,699,23.6,21.6,26.4,21.7,-2.8,-0.0,0.9,0.03
